timestamp,open,high,low,close,volume
2025-03-06 14:00:00,89484.1953125,90229.703125,89317.0390625,89676.4375,0
2025-03-06 15:00:00,89721.0,91301.0859375,89721.0,90799.7734375,0
2025-03-06 16:00:00,90861.84375,91020.8671875,89384.546875,89384.546875,0
2025-03-06 17:00:00,89263.1015625,89263.1015625,88091.46875,88692.0,814784512
2025-03-06 18:00:00,88622.34375,88907.3046875,88224.140625,88398.8984375,0
2025-03-06 19:00:00,88401.6171875,89312.828125,87877.71875,88649.78125,0
2025-03-06 20:00:00,88639.53125,89248.5,88639.53125,89151.0859375,341921792
2025-03-06 21:00:00,89061.8984375,89806.3203125,89061.8984375,89535.140625,1146499072
2025-03-06 22:00:00,90050.75,90751.953125,89693.46875,90371.9296875,0
2025-03-06 23:00:00,90186.90625,90538.359375,89939.6953125,89939.6953125,917504000
2025-03-07 00:00:00,89959.1640625,91160.8203125,85159.578125,85555.5703125,6247034880
2025-03-07 01:00:00,85383.765625,88763.1953125,85383.765625,88077.8828125,3863216128
2025-03-07 02:00:00,88240.4375,88396.703125,87352.15625,87352.15625,229388288
2025-03-07 03:00:00,87335.3203125,87607.3515625,86859.4296875,87044.4921875,1051316224
2025-03-07 04:00:00,86947.3828125,87835.2421875,86947.3828125,87725.75,60424192
2025-03-07 05:00:00,87623.625,88351.9765625,87623.625,88194.0390625,124510208
2025-03-07 06:00:00,88225.03125,88304.59375,87881.6015625,88185.34375,0
2025-03-07 07:00:00,88197.390625,88569.796875,88131.7734375,88309.765625,476745728
2025-03-07 08:00:00,88362.4765625,88419.109375,88034.25,88398.953125,0
2025-03-07 09:00:00,88449.8359375,89554.8828125,88410.765625,88965.375,1606164480
2025-03-07 10:00:00,88875.140625,89281.3828125,88852.65625,89211.1875,0
2025-03-07 11:00:00,89217.8125,89414.7890625,88881.3125,88943.453125,0
2025-03-07 12:00:00,89023.0546875,89235.6328125,88375.078125,89111.40625,0
2025-03-07 13:00:00,89047.3359375,90157.0390625,89047.3359375,89316.9609375,1119588352
2025-03-07 14:00:00,89195.1484375,91070.7421875,88941.8359375,90461.6328125,0
2025-03-07 15:00:00,90396.03125,90683.9296875,88088.3828125,88445.3125,6803640320
2025-03-07 16:00:00,88447.5625,88709.609375,86656.8515625,87027.671875,2668081152
